qcode,cost1,curr1,cost2,curr2,date1
Q808,1333.40000000,KRW,74670400000,KRW,2020.12.21
Q809,1.00000000,KRW,10000000,KRW,2021.2.5
Q810,1.00000000,KRW,5044800,KRW,2021.2.5
Q811,1.00000000,KRW,61938000,KRW,2021.2.5
Q812,1.00000000,KRW,33621336,KRW,2021.2.5
Q813,1.00000000,KRW,9175136,KRW,2021.2.5
Q814,1.00000000,KRW,1651000,KRW,2021.2.5
Q815,1.00000000,KRW,18000000,KRW,2021.2.5
Q816,1.00000000,KRW,5000000,KRW,2021.2.5
Q817,1.00000000,KRW,202000000,KRW,2021.2.8
Q818,1.00000000,KRW,22260000,KRW,2021.2.5
Q819,1.00000000,KRW,47462800,KRW,2021.2.5
Q820,1.00000000,KRW,5000000,KRW,2021.2.5
Q821,1333.40000000,KRW,10000500,KRW,2021.4.26
Q822,1333.40000000,KRW,78403920,KRW,2021.4.26
Q823,1333.40000000,KRW,10400520,KRW,2021.4.26
Q824,1333.40000000,KRW,393353000,KRW,2021.8.13
Q825,1333.40000000,KRW,393353000,KRW,2021.8.13
Q826,1333.40000000,KRW,393353000,KRW,2021.8.13
Q827,1333.40000000,KRW,393353000,KRW,2021.8.13
Q828,1.00000000,KRW,486550000,KRW,
Q829,1.00000000,KRW,868500000,KRW,2021.5.14
Q830,1.00000000,KRW,50000000,KRW,2021.5.14
Q831,1.00000000,KRW,131500000,KRW,2021.5.14
Q832,1333.40000000,KRW,1333,KRW,2021.6.29
Q833,1333.40000000,KRW,1333,KRW,2021.6.29
Q834,1333.40000000,KRW,1333,KRW,2021.6.29
Q835,1333.40000000,KRW,1333,KRW,2021.6.29
Q836,1333.40000000,KRW,1333,KRW,2021.6.29
Q837,1333.40000000,KRW,1333,KRW,2021.6.29
Q838,1333.40000000,KRW,1333,KRW,2021.6.29
Q839,1333.40000000,KRW,1333,KRW,2021.6.29
Q840,1333.40000000,KRW,1333,KRW,2021.6.29
Q841,1333.40000000,KRW,2352117600,KRW,2021.6.11
Q842,1333.40000000,KRW,2352117600,KRW,2021.6.11
Q843,1333.40000000,KRW,2352117600,KRW,2021.6.11
Q844,1333.40000000,KRW,14592729600,KRW,2021.6.25
Q845,1333.40000000,KRW,7296364800,KRW,2021.6.25
Q846,1333.40000000,KRW,5544277200,KRW,2021.6.25
Q847,1333.40000000,KRW,1409403800,KRW,2021.6.25
Q848,1333.40000000,KRW,1333,KRW,2021.6.25
Q849,1.00000000,KRW,1920000,KRW,
Q850,1333.40000000,KRW,27019870926,KRW,2021.7.20
Q851,1333.40000000,KRW,98280913800,KRW,2021.7.20
Q852,10.18018000,KRW,8347747600,KRW,2021.7.13
Q853,1.00000000,KRW,4690000000,KRW,2021.7.13
Q854,1.00000000,KRW,250000000,KRW,2021.7.13
Q855,1.00000000,KRW,4500000,KRW,2021.7.13
Q856,1.00000000,KRW,2600000,KRW,2021.7.13
Q857,1.00000000,KRW,307400000,KRW,2021.7.13
Q858,1.00000000,KRW,5100000,KRW,2021.7.13
Q859,1.00000000,KRW,68000000,KRW,2021.7.13
Q860,1.00000000,KRW,5700000,KRW,2021.7.13
Q861,1.00000000,KRW,2600000,KRW,2021.7.13
Q862,1.00000000,KRW,1700000,KRW,2021.7.13
Q863,1130.00000000,KRW,19210000,KRW,2021.7.20
Q864,1130.00000000,KRW,12995000,KRW,2021.7.20
Q865,1.00000000,KRW,1000000,KRW,2021.7.20
Q866,1130.00000000,KRW,49720000,KRW,2021.8.4
Q867,1.00000000,KRW,2250000,KRW,2021.7.20
Q868,1.00000000,KRW,4000000,KRW,2021.7.20
Q869,1.00000000,KRW,5100000,KRW,2021.7.20
Q870,1.00000000,KRW,2550000,KRW,2021.7.20
Q871,1333.40000000,KRW,264013200,KRW,2021.7.20
Q872,1130.00000000,KRW,19210000,KRW,2021.7.20
Q873,1130.00000000,KRW,12995000,KRW,2021.7.20
Q874,1.00000000,KRW,1000000,KRW,2021.7.20
Q875,1130.00000000,KRW,49720000,KRW,2021.12.29
Q876,1130.00000000,KRW,107915000,KRW,2021.7.20
Q877,1.00000000,KRW,2250000,KRW,2021.7.20
Q878,1.00000000,KRW,4000000,KRW,2021.7.20
Q879,1.00000000,KRW,5100000,KRW,2021.7.20
Q880,1.00000000,KRW,2550000,KRW,2021.7.20
Q881,1333.40000000,KRW,349350800,KRW,2021.7.20
Q882,1.00000000,KRW,550000000,KRW,2021.11.22
Q883,10.18018000,KRW,76351350,KRW,2021.8.10
Q884,1.00000000,KRW,41800000,KRW,2021.8.10
Q885,10.18018000,KRW,107909908,KRW,2022.2.23
Q886,1333.40000000,KRW,278680600000,KRW,2021.6.23
Q887,1130.00000000,KRW,5706500000,KRW,2021.9.27
Q888,1333.40000000,KRW,573362000,KRW,2021.9.27
Q889,1130.00000000,KRW,109610000,KRW,2021.9.27
Q890,1333.40000000,KRW,14934080000,KRW,2021.12.13
Q891,10.18018000,KRW,3970270200,KRW,2021.12.13
Q892,1.00000000,KRW,10000000,KRW,2021.12.13
Q893,1.00000000,KRW,10000000,KRW,2021.12.13
Q894,1333.40000000,KRW,320016000,KRW,2021.10.22
Q895,1333.40000000,KRW,320016000,KRW,2021.10.22
Q896,1333.40000000,KRW,320016000,KRW,2021.10.22
Q897,1333.40000000,KRW,320016000,KRW,2021.10.22
